Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
EUR,20200708  10:30:00,1.1353,1.1357,1.13525,1.13565,1181,1.13554,479,30,0.0017445,0.001551,1.8E-05,SELL,NO
EUR,20200708  10:35:00,1.13565,1.136,1.13545,1.1359,1335,1.135755,483,35,0.001521,0.00162,0.000828,NO,NO
EUR,20200708  10:40:00,1.1359,1.136,1.13525,1.1353,1420,1.135625,482,40,0.0012,0.000795,4.5E-05,SELL,NO
EUR,20200708  10:45:00,1.1353,1.1359,1.1353,1.13575,2100,1.135565,738,45,0.0010125,0.000159,-0.000234,SELL,NO
EUR,20200708  10:50:00,1.13575,1.1359,1.13525,1.1354,2119,1.13559,731,50,0.0008355,0.000132,-0.0001125,SELL,NO
EUR,20200708  10:55:00,1.13545,1.1356,1.13425,1.13455,3564,1.13471,1125,55,-0.000444,-0.001956,-0.0033255,SELL,NO
EUR,20200708  11:00:00,1.1345,1.13465,1.134,1.1344,2971,1.134295,935,0,-0.0011985,-0.003162,-0.003879,SELL,NO
EUR,20200708  11:05:00,1.13435,1.13475,1.13425,1.1344,1424,1.13446,511,5,-0.0012465,-0.002808,-0.002088,NO,NO
EUR,20200708  11:10:00,1.13435,1.13465,1.13415,1.13445,858,1.134455,279,10,-0.001296,-0.002799,-0.0011115,NO,NO
EUR,20200708  11:15:00,1.13445,1.1347,1.13385,1.13395,1640,1.13431,531,15,-0.001458,-0.003177,-0.000612,NO,NO
EUR,20200708  11:20:00,1.13395,1.134,1.1333,1.13345,2015,1.13364,767,20,-0.002367,-0.004158,-0.002664,NO,NO
EUR,20200708  11:25:00,1.13345,1.134,1.1332,1.13395,2022,1.13348,593,25,-0.00258,-0.003744,-0.0026505,NO,NO
EUR,20200708  11:30:00,1.1339,1.13465,1.13385,1.1344,1798,1.134245,573,30,-0.0016515,-0.001245,0.0009855,BUY,NO
EUR,20200708  11:35:00,1.13445,1.1347,1.1342,1.13425,887,1.13436,275,35,-0.0015285,-0.000288,0.0015885,BUY,NO
EUR,20200708  11:40:00,1.13425,1.1343,1.13405,1.13405,787,1.134155,307,40,-0.001461,-0.00054,0.0008055,BUY,NO
EUR,20200708  11:45:00,1.1341,1.1341,1.1336,1.13395,1669,1.133915,482,45,-0.00135,-0.000723,-0.000522,BUY,NO
EUR,20200708  11:50:00,1.134,1.1343,1.1338,1.1342,568,1.133985,245,50,-0.0009345,3.3E-05,-0.0006615,NO,NO
EUR,20200708  11:55:00,1.13415,1.13455,1.13385,1.1345,901,1.13427,289,55,-0.000252,0.000843,0.0005985,NO,NO
EUR,20200708  12:00:00,1.1345,1.1348,1.13435,1.1347,1020,1.134585,333,0,0.000246,0.001569,0.0018135,BUY,NO
EUR,20200708  12:05:00,1.13465,1.1352,1.13465,1.1351,1257,1.134975,373,5,0.0009105,0.002196,0.0028305,BUY,NO
EUR,20200708  12:10:00,1.13515,1.1358,1.13515,1.13575,1726,1.135555,498,10,0.0019005,0.003327,0.0039645,BUY,NO
EUR,20200708  12:15:00,1.13575,1.1366,1.13565,1.1366,2440,1.136225,722,15,0.0027675,0.005091,0.0049635,NO,NO
EUR,20200708  12:20:00,1.1366,1.13685,1.13635,1.13635,2145,1.13662,689,20,0.0032265,0.006093,0.004626,NO,NO
EUR,20200708  12:25:00,1.1364,1.1365,1.13605,1.13615,1296,1.13627,403,25,0.002652,0.004995,0.0015345,NO,NO
EUR,20200708  12:30:00,1.1362,1.13635,1.1359,1.13595,1121,1.136085,418,30,0.0022995,0.003915,-0.000297,NO,NO
EUR,20200708  12:35:00,1.1359,1.13595,1.13545,1.1357,1929,1.13569,470,35,0.0019035,0.002025,-0.002196,NO,NO
EUR,20200708  12:40:00,1.1357,1.1358,1.13555,1.13565,1179,1.135635,373,40,0.0018645,0.00072,-0.0019125,SELL,EXECUTE
EUR,20200708  12:45:00,1.13565,1.1357,1.13555,1.13555,702,1.13565,246,45,0.0017535,-0.000465,-0.000972,SELL,NO
EUR,20200708  12:50:00,1.13555,1.1357,1.1353,1.1354,1316,1.13547,389,50,0.0012195,-0.001674,-0.001062,NO,NO
EUR,20200708  12:55:00,1.13545,1.1355,1.1352,1.1353,1216,1.13533,348,55,0.0005805,-0.002328,-0.0010125,NO,NO
EUR,20200708  13:00:00,1.1353,1.1358,1.1353,1.13575,908,1.13554,309,0,0.000246,-0.001503,6.75E-05,NO,NO
