Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
CHF,20200629  16:30:00,1.0535,1.0535,1.0534,1.0534,20,1.05349,13,30,0.000147,0.000216,-0.000126,NO,NO
CHF,20200629  16:35:00,1.0535,1.0536,1.0535,1.0536,10,1.05354,5,35,0.000225,0.000318,4.5E-05,NO,NO
CHF,20200629  16:40:00,1.0536,1.0537,1.0536,1.0536,15,1.05365,8,40,0.000345,0.000534,0.000405,NO,NO
CHF,20200629  16:45:00,1.0535,1.0537,1.0535,1.0536,18,1.05359,12,45,0.000261,0.000216,7.2E-05,SELL,NO
CHF,20200629  16:50:00,1.0537,1.0537,1.0537,1.0537,12,1.0537,5,50,0.00036,0.00042,0.000477,BUY,NO
CHF,20200629  16:55:00,1.0537,1.0537,1.0536,1.0537,26,1.05369,14,55,0.000339,0.00039,0.000252,NO,NO
CHF,20200630  09:30:00,1.0559,1.0559,1.0557,1.0558,114,1.05579,54,30,0.002835,0.005406,0.007677,BUY,NO
CHF,20200630  09:35:00,1.0558,1.0566,1.0558,1.0564,220,1.05624,95,35,0.003288,0.006408,0.007371,BUY,NO
CHF,20200630  09:40:00,1.0565,1.0565,1.0556,1.0557,114,1.05599,55,40,0.002958,0.005814,0.004086,NO,NO
CHF,20200630  09:45:00,1.0557,1.0558,1.0552,1.0552,185,1.05559,74,45,0.002475,0.004728,0.000585,NO,NO
CHF,20200630  09:50:00,1.0552,1.0556,1.0552,1.0555,125,1.05545,70,50,0.002295,0.004302,-0.001629,NO,NO
CHF,20200630  09:55:00,1.0556,1.0557,1.0549,1.0551,112,1.05525,57,55,0.002016,0.002538,-0.002043,NO,NO
CHF,20200630  10:00:00,1.0552,1.0556,1.0548,1.0555,315,1.05516,142,0,0.001911,0.000732,-0.001476,SELL,NO
CHF,20200630  10:05:00,1.0556,1.0562,1.0556,1.0562,192,1.05584,93,5,0.002664,0.00099,0.001719,NO,NO
CHF,20200630  10:10:00,1.0562,1.0565,1.056,1.0563,129,1.05623,72,10,0.003087,0.000786,0.002898,NO,NO
CHF,20200630  10:15:00,1.0564,1.0564,1.0551,1.0551,281,1.05564,99,15,0.001737,-0.000426,7.2E-05,NO,NO
CHF,20200630  10:20:00,1.0551,1.0551,1.0545,1.055,225,1.05483,92,20,-3E-05,-0.001776,-0.003195,SELL,EXECUTE
CHF,20200630  10:25:00,1.055,1.0553,1.0549,1.0552,444,1.05514,135,25,-0.000345,-0.000534,-0.001782,SELL,NO
CHF,20200630  10:30:00,1.0552,1.0561,1.0552,1.0559,300,1.05583,132,30,-8.7E-05,0.000972,0.001332,BUY,NO
CHF,20200630  10:35:00,1.0559,1.0563,1.0553,1.0559,449,1.05571,200,35,-0.000129,0.000216,0.00126,BUY,NO
CHF,20200630  10:40:00,1.0558,1.0569,1.0557,1.0563,404,1.05629,153,40,0.000864,0.001374,0.003285,BUY,NO
CHF,20200630  10:45:00,1.0563,1.0575,1.0563,1.0567,737,1.05701,326,45,0.001977,0.0033,0.004563,BUY,NO
CHF,20200630  10:50:00,1.0568,1.0584,1.0568,1.0581,925,1.05779,367,50,0.002838,0.005592,0.005688,BUY,NO
CHF,20200630  10:55:00,1.0581,1.0583,1.0573,1.0578,1275,1.05771,495,55,0.002508,0.00564,0.003636,NO,NO
CHF,20200630  11:00:00,1.0579,1.058,1.0572,1.0575,980,1.05758,371,0,0.002235,0.005286,0.001368,NO,NO
CHF,20200630  11:05:00,1.0576,1.0579,1.0575,1.0575,496,1.05761,167,5,0.00237,0.004482,0.000315,NO,NO
CHF,20200630  11:10:00,1.0576,1.0584,1.0576,1.0583,368,1.05787,128,10,0.002892,0.003984,0.000711,NO,NO
CHF,20200630  11:15:00,1.0585,1.0592,1.0584,1.0592,437,1.05867,189,15,0.003972,0.004728,0.003519,NO,NO
CHF,20200630  11:20:00,1.0592,1.0592,1.0587,1.0587,376,1.05898,135,20,0.004323,0.004272,0.003771,SELL,NO
CHF,20200630  11:25:00,1.0586,1.0588,1.0581,1.0583,198,1.05843,83,25,0.003225,0.002178,0.000531,SELL,NO
CHF,20200630  11:30:00,1.0583,1.0585,1.0582,1.0582,199,1.05835,80,30,0.002568,0.001626,-0.000495,SELL,NO
CHF,20200630  11:35:00,1.0583,1.0587,1.0583,1.0586,189,1.0585,78,35,0.00216,0.001938,-0.000387,SELL,NO
CHF,20200630  11:40:00,1.0585,1.0588,1.0585,1.0587,139,1.0587,62,40,0.0018,0.001842,0.000486,NO,NO
CHF,20200630  11:45:00,1.0586,1.0588,1.0585,1.0588,79,1.05862,37,45,0.001317,0.00081,0.00045,SELL,NO
CHF,20200630  11:50:00,1.0588,1.0588,1.0585,1.0588,167,1.05864,69,50,0.001161,0.000366,0.000351,SELL,NO
CHF,20200630  11:55:00,1.0588,1.0588,1.0583,1.0586,189,1.05849,79,55,0.000957,-0.000282,-0.00045,SELL,NO
CHF,20200630  12:00:00,1.0585,1.0589,1.0585,1.0589,131,1.05876,60,0,0.000993,0.000468,0.000531,NO,NO
CHF,20200630  12:05:00,1.0588,1.0592,1.0585,1.059,223,1.05869,45,5,0.000489,0.000468,0.000225,SELL,NO
CHF,20200630  12:10:00,1.059,1.0592,1.0585,1.0585,167,1.05871,68,10,0.000267,0.000402,0.000234,NO,NO
CHF,20200630  12:15:00,1.0585,1.0586,1.0583,1.0583,87,1.05845,45,15,-0.000189,-0.000396,-0.000765,SELL,NO
CHF,20200630  12:20:00,1.0582,1.0585,1.058,1.0584,109,1.05824,54,20,-0.00039,-0.000894,-0.001485,SELL,EXECUTE
CHF,20200630  12:25:00,1.0585,1.0585,1.058,1.058,38,1.05827,23,25,-0.00027,-0.000858,-0.000909,SELL,NO
CHF,20200630  12:30:00,1.0581,1.0585,1.0581,1.0583,147,1.05826,57,30,-0.000339,-0.000924,-0.000567,NO,NO
CHF,20200630  12:35:00,1.0584,1.0589,1.0583,1.0586,155,1.05867,67,35,6.6E-05,1.8E-05,0.001314,NO,NO
CHF,20200630  12:40:00,1.0586,1.0592,1.0586,1.0591,101,1.05887,41,40,0.000309,0.000522,0.001836,BUY,NO
CHF,20200630  12:45:00,1.0591,1.0591,1.0585,1.0586,191,1.05871,66,45,9.9E-05,0.00045,0.000693,BUY,NO
CHF,20200630  12:50:00,1.0585,1.0585,1.0582,1.0582,144,1.05842,58,50,-0.00027,6E-06,-0.000747,NO,NO
CHF,20200630  12:55:00,1.0582,1.0583,1.0578,1.0583,49,1.05806,29,55,-0.000723,-0.000588,-0.002187,NO,NO
CHF,20200630  13:00:00,1.0583,1.0584,1.0583,1.0583,47,1.05834,22,0,-0.000375,-4.8E-05,-0.00063,NO,NO
CHF,20200630  13:05:00,1.0583,1.0587,1.0583,1.0586,114,1.05847,42,5,-6.3E-05,-0.000114,0.000315,NO,NO
CHF,20200630  13:10:00,1.0586,1.0587,1.0586,1.0587,53,1.05865,22,10,0.000279,5.4E-05,0.001179,NO,NO
CHF,20200630  13:15:00,1.0588,1.0589,1.0588,1.0588,50,1.05883,15,15,0.00063,0.00039,0.00162,NO,NO
CHF,20200630  13:20:00,1.0588,1.0589,1.0587,1.0587,93,1.05879,42,20,0.000516,0.00066,0.000783,BUY,NO
CHF,20200630  13:25:00,1.0588,1.0591,1.0588,1.0591,63,1.05903,26,25,0.000615,0.001554,0.001242,NO,NO
CHF,20200630  13:30:00,1.0591,1.0591,1.0588,1.0588,111,1.05902,55,30,0.000471,0.001674,0.000702,NO,NO
CHF,20200630  13:35:00,1.0586,1.0586,1.0584,1.0585,43,1.05853,27,35,-0.000165,0.00036,-0.001395,NO,NO
CHF,20200630  13:40:00,1.0585,1.0585,1.0582,1.0585,65,1.05833,26,40,-0.000222,-0.000582,-0.001845,SELL,EXECUTE
CHF,20200630  13:45:00,1.0585,1.0586,1.0584,1.0585,26,1.05848,18,45,0.000117,-0.000492,-0.000891,SELL,NO
CHF,20200630  13:50:00,1.0585,1.0587,1.0585,1.0586,70,1.05863,31,50,0.000369,-0.000468,0.000144,NO,NO
CHF,20200630  13:55:00,1.0586,1.0587,1.0584,1.0584,84,1.05854,40,55,0.000192,-0.000906,0.000171,NO,NO
CHF,20200630  14:00:00,1.0583,1.0585,1.0581,1.0584,85,1.05824,56,0,-0.000399,-0.001446,-0.000918,NO,NO
